name,e-number,toxicity,origin,clasif,link
Poliglicerol del Ácido Polirricinoleico (PGPR),---,---,---,---,https://hablemosclaro.org/ingrepedia/poliglicerol-del-acido-polirricinoleico-pgpr/
Polisorbatos,---,---,---,---,https://hablemosclaro.org/ingrepedia/polisorbatos/
Quitosán,---,---,---,---,https://hablemosclaro.org/ingrepedia/quitosan/
Sales de Ácidos Grasos,---,---,---,---,https://hablemosclaro.org/ingrepedia/sales-de-acidos-grasos/
Sales de Amonio del Ácido Fosfatídico,---,---,---,---,https://hablemosclaro.org/ingrepedia/sales-de-amonio-del-acido-fosfatidico/
Sucroglicéridos,---,---,---,---,https://hablemosclaro.org/ingrepedia/sucrogliceridos/
Suero de Leche,---,---,---,---,https://hablemosclaro.org/ingrepedia/suero-de-leche/
Trifosfatos,---,---,---,---,https://hablemosclaro.org/ingrepedia/trifosfatos/
Hidroxipropil dialmidón glicerol,---,---,---,---,https://hablemosclaro.org/hidroxipropil-dialmidon-glicerol/
Monolaurato de sorbitán polioxietilenado,---,---,---,---,https://hablemosclaro.org/monolaurato-de-s…polioxietilenado/
Monolaurato de sorbitán polioxietilenado,---,---,---,---,https://hablemosclaro.org/monooleato-de-so…polioxietilenado/
Glicerolado de dialmidón,---,---,---,---,https://hablemosclaro.org/glicerolado-de-dialmidon/
Fosfato de dialmidón fosfatado,---,---,---,---,https://hablemosclaro.org/fosfato-de-dialmidon-fosfatado/
Fosfato de dialmidón acetilado ,---,---,---,---,https://hablemosclaro.org/fosfato-de-dialmidon-acetilado//
Tartrato hidrogenado de sodio /a>,---,---,---,---,https://hablemosclaro.org/5913-2/
Tartrato de sodio,---,---,---,---,https://hablemosclaro.org/tartrato-de-sodio/
Tartrato de potasio ,---,---,---,---,https://hablemosclaro.org/5929-2/
Tartrato dipotásico,---,---,---,---,https://hablemosclaro.org/5929-2/
Tartrato de potasio y sodio,---,---,---,---,https://hablemosclaro.org/tartrato-de-potasio-y-sodio/
Agentes Endurecedores,---,---,---,---,#1503613863744-b9e60aa7-bffe
Ácido Adípico,---,---,---,---,https://hablemosclaro.org/ingrepedia/acido-adipico/
Carbonato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/carbonato-de-calcio/
Cloruro de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/cloruro-de-calcio/
Curdlán,---,---,---,---,https://hablemosclaro.org/ingrepedia/curdlan/
Gluconato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/gluconato-de-calcio/
Gluconato de Magnesio,---,---,---,---,https://hablemosclaro.org/ingrepedia/gluconato-de-magnesio/
Gluconato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/gluconato-de-potasio/
Hidróxido de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/hidroxido-de-calcio/
Pululan,---,---,---,---,https://hablemosclaro.org/ingrepedia/pululan/
Sulfato de Aluminio y Amonio,---,---,---,---,https://hablemosclaro.org/ingrepedia/sulfato-de-aluminio-y-amonio/
Sulfato de Magnesio,---,---,---,---,https://hablemosclaro.org/ingrepedia/sulfato-de-magnesio/
Alcohol de Polivinilo (PVA),---,---,---,---,https://hablemosclaro.org/ingrepedia/alcohol-de-polivinilo-o-pva/
Alfa Ciclodextrina,---,---,---,---,https://hablemosclaro.org/ingrepedia/alfa-ciclodextrina/
Alginato de Amonio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-amonio/
Alginato de Calcio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-calcio/
Alginato de Potasio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-potasio/
Alginato de Propilenglicol (PGA),---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-propilenglicol-pga/
Alginato de Sodio,---,---,---,---,https://hablemosclaro.org/ingrepedia/alginato-de-sodio/
